bigram,freq
"('not', 'worth')",15
"('worth', 'the')",15
"('the', 'money')",8
"('money', 'the')",1
"('picture', 'made')",1
"('made', 'me')",12
"('me', 'think')",1
"('think', 'this')",5
"('this', 'jacket')",6
"('jacket', 'had')",1
"('had', 'a')",17
"('a', 'longer')",2
"('longer', 'curved')",1
"('curved', 'velvet')",1
"('velvet', 'hem')",1
"('hem', 'a')",1
"('a', 'part')",1
"('part', 'of')",8
"('of', 'it')",10
"('it', 'design')",1
"('design', 'which')",1
"('which', 'would')",6
"('would', 'be')",57
"('be', 'cool')",1
"('cool', 'which')",1
"('is', 'largely')",1
"('largely', 'what')",1
"('what', 'attracted')",1
"('attracted', 'me')",1
"('me', 'to')",7
"('to', 'it')",14
"('it', 'but')",18
"('but', 'a')",6
"('a', 'i')",29
"('i', 'discovered')",1
"('discovered', 'when')",1
"('when', 'it')",21
"('it', 'arrived')",15
"('arrived', 'that')",1
"('that', 'wa')",11
"('wa', 'actually')",1
"('actually', 'part')",1
"('the', 'shirt')",31
"('shirt', 'worn')",1
"('worn', 'beneath')",1
"('beneath', 'in')",1
"('the', 'photo')",33
"('photo', 'so')",1
"('so', 'this')",2
"('this', 'image')",1
"('image', 'is')",1
"('is', 'rather')",1
"('rather', 'misleading')",1
"('misleading', 'the')",2
"('the', 'actual')",3
"('actual', 'jacket')",1
"('jacket', 'is')",4
"('very', 'thin')",16
"('thin', 'more')",1
"('more', 'like')",19
"('a', 'shirt')",4
"('shirt', 'with')",3
"('with', 'an')",4
"('an', 'open')",1
"('open', 'front')",1
"('front', 'than')",1
"('than', 'a')",8
"('a', 'jacket')",1
"('jacket', 'the')",1
"('the', 'pocket')",7
"('pocket', 'are')",2
"('are', 'just')",4
"('just', 'loosely')",1
"('loosely', 'tacked')",1
"('tacked', 'inside')",1
"('inside', 'for')",1
"('for', 'I')",2
"('I', 'tried')",11
"('tried', 'this')",13
"('this', 'shirt')",35
"('shirt', 'in')",3
"('small', 'my')",1
"('my', 'usual')",10
"('usual', 'retailer')",1
"('retailer', 'size')",1
"('size', 'and')",11
"('wa', 'very')",36
"('very', 'unflattering')",9
"('unflattering', 'the')",8
"('wa', 'ultra')",1
"('ultra', 'soft')",1
"('soft', 'and')",12
"('it', 'seemed')",3
"('seemed', 'it')",1
"('wa', 'nicely')",1
"('nicely', 'made')",1
"('made', 'however')",1
"('however', 'this')",5
"('shirt', 'is')",18
"('is', 'so')",36
"('so', 'unstructured')",1
"('unstructured', 'and')",1
"('and', 'oversized')",1
"('oversized', 'i')",4
"('i', 'might')",8
"('might', 'a')",1
"('a', 'well')",11
"('well', 'worn')",1
"('worn', 'a')",2
"('a', 'brown')",1
