word,freq,Precentage,Total,80534,word,Precentage
shapeless,6,0.007%,,,,
lived,6,0.007%,,,,
flirty,6,0.007%,,,,
itch,6,0.007%,,,,
function,6,0.007%,,,,
cross,6,0.007%,,,,
Have,6,0.007%,,,,
thru,6,0.007%,,,,
searched,6,0.007%,,,,
reveal,6,0.007%,,,,
bothered,6,0.007%,,,,
blazer,6,0.007%,,,,
break,6,0.007%,,,,
ruffle,6,0.007%,,,,
visited,6,0.007%,,,,
snapped,6,0.007%,,,,
elegant,6,0.007%,,,,
pear,6,0.007%,,,,
gathered,6,0.007%,,,,
flat,6,0.007%,,,,
visiting,6,0.007%,,,,
