word,freq
peasant,16
billowy,14
lat,1
complexion,14
rejoice,1
str,1
gem,17
incredibly,2
coverup,14
bahamas,1
puffy,5
sheet,2
skinnier,1
Wore,9
drink,6
¬,20
humor,1
exceeds,1
triangle,4
pale,6
yay,18
negativ,1
la,17
xsm,1
wo,6
bermuda,1
insecurity,3
T,4
sock,36
grip,4
offs,3
finishing,5
happier,2
tegan,2
extra,3
Lovely,14
flowery,1
cupro,2
depending,8
126,10
155lbs,4
lola,4
cap,14
advice,18
dolan,13
presentation,6
bootee,1
Thylo,1
strike,3
magic,2
ti,12
144,4
laid,3
sand,7
depends,3
ness,5
shabby,1
hemming,6
Flowy,2
bummer,9
horse,23
gather,5
bare,13
Someone,2
michigan,2
best,1
speed,1
cling,3
handwash,3
direction,6
hamper,1
dryel,2
antho,3
kakhi,1
Casual,1
summertime,5
stress,4
interior,5
speckle,2
contrasting,5
twirl,1
r,8
shut,3
scissors,4
cropped,8
example,8
un,2
simpler,1
fu,1
blanket,15
boucle,3
sling,1
forearm,4
wrinkly,2
mo,5
country,8
club,2
plaza,1
legged,3
99,17
steamer,3
g,7
Pilcro,6
tbose,1
woven,5
colorblocking,1
fluttery,5
sing,1
colored,2
butta,1
80,11
compromise,3
scale,2
bracelet,3
regularl,2
petittes,1
striping,4
described,4
museum,5
page,6
pr,1
rocker,2
tearoom,1
packaging,6
tip,3
ingredient,1
thanksgiving,1
feast,3
food,3
poplin,5
Heavier,1
latigo,1
carmel,1
squeeze,4
towards,14
inst,1
bosom,3
36e,1
difficulty,5
yummy,2
hipster,3
whatsoever,4
perception,1
usa,5
mask,3
